Datetime,Close,High,Low,Open,Volume,pivot,pivot_1b,pivot_2b,pivot_type,pivot_type_1b,pivot_type_2b,pivot_kind,pivot_kind_1b,pivot_kind_2b
2016-07-04,8387.35,8415.0,8376.0,8385.1,8049600.0,22.672018393950786,61.33290179197905,3.173212102268945,low,high,low,0.0,0.0,0.0
2016-07-05,8354.0,8382.5,8342.0,8381.0,8382900.0,,,,,,,,,
2016-07-07,8358.3,8392.0,8330.05,8347.7,7607475.0,89.69964077519926,22.672018393950786,61.33290179197905,high,low,high,1.0,0.0,0.0
2016-07-08,8336.45,8353.0,8295.05,8350.0,9863925.0,,,,,,,,,
2016-07-11,8489.4,8496.0,8422.35,8432.75,11182125.0,,,,,,,,,
2016-07-12,8528.75,8534.55,8492.0,8512.1,8191500.0,,,,,,,,,
2016-07-13,8520.05,8545.0,8501.1,8539.95,7799175.0,75.13430772029949,89.69964077519926,22.672018393950786,low,high,low,0.0,1.0,0.0
2016-07-14,8576.55,8584.0,8509.55,8521.0,7877850.0,,,,,,,,,
2016-07-15,8554.85,8605.0,8525.0,8589.9,11061900.0,,,,,,,,,
2016-07-18,8520.5,8604.0,8510.0,8571.5,9420900.0,,,,,,,,,
2016-07-19,8540.45,8555.0,8485.6,8525.0,11271225.0,100.11817116502507,75.13430772029949,89.69964077519926,high,low,high,1.0,0.0,1.0
2016-07-20,8584.15,8591.65,8542.5,8549.9,7139700.0,,,,,,,,,
2016-07-21,8519.75,8888.0,8511.7,8888.0,9190275.0,,,,,,,,,
2016-07-22,8554.3,8563.9,8500.5,8527.15,9046800.0,66.40848955096638,100.11817116502507,75.13430772029949,low,high,low,0.0,1.0,0.0
2016-07-25,8639.7,8645.6,8530.75,8545.0,13502625.0,,,,,,,,,
2016-07-26,8592.85,8652.05,8576.55,8602.1,13712775.0,,,,,,,,,
2016-07-27,8614.75,8667.5,8566.05,8602.1,15557400.0,,,,,,,,,
2016-07-28,8666.3,8667.9,8615.05,8625.5,11916225.0,,,,,,,,,
2016-07-29,8686.6,8744.7,8668.5,8708.0,8065425.0,,,,,,,,,
2016-08-01,8682.0,8747.0,8624.45,8702.2,12128400.0,54.35068583349599,66.40848955096638,100.11817116502507,low,low,high,0.0,0.0,1.0
2016-08-02,8660.3,8736.05,8638.0,8676.0,9156600.0,,,,,,,,,
2016-08-03,8582.55,8649.25,8568.0,8641.0,12718650.0,,,,,,,,,
2016-08-04,8594.4,8631.0,8547.6,8625.25,10740150.0,79.98414608567407,54.35068583349599,66.40848955096638,high,low,low,1.0,0.0,0.0
2016-08-05,8708.2,8717.0,8631.6,8632.65,10803525.0,,,,,,,,,
2016-08-08,8742.3,8760.0,8726.45,8748.5,6690975.0,,,,,,,,,
